,weights
2017-06-22 23:59:00+00:00,"coin
btc    0.360493
eth    0.277649
ltc    0.198193
xrp    0.070016
etc    0.058681
neo    0.017575
zec    0.012004
xmr    0.003031
iot    0.001974
bcc    0.000386
Name: volume, dtype: float64"
2017-06-23 23:59:00+00:00,"coin
btc    0.360493
eth    0.277649
ltc    0.198193
xrp    0.070016
etc    0.058681
neo    0.017575
zec    0.012004
xmr    0.003031
iot    0.001974
bcc    0.000386
Name: volume, dtype: float64"
2017-06-24 23:59:00+00:00,"coin
btc    0.360493
eth    0.277649
ltc    0.198193
xrp    0.070016
etc    0.058681
neo    0.017575
zec    0.012004
xmr    0.003031
iot    0.001974
bcc    0.000386
Name: volume, dtype: float64"
2017-06-25 23:59:00+00:00,"coin
btc    0.360493
eth    0.277649
ltc    0.198193
xrp    0.070016
etc    0.058681
neo    0.017575
zec    0.012004
xmr    0.003031
iot    0.001974
bcc    0.000386
Name: volume, dtype: float64"
2017-06-26 23:59:00+00:00,"coin
btc    0.360493
eth    0.277649
ltc    0.198193
xrp    0.070016
etc    0.058681
neo    0.017575
zec    0.012004
xmr    0.003031
iot    0.001974
bcc    0.000386
Name: volume, dtype: float64"
2017-06-27 23:59:00+00:00,"coin
btc    0.382417
eth    0.302851
ltc    0.133500
xrp    0.092934
etc    0.052851
neo    0.019907
zec    0.009605
xmr    0.003325
iot    0.001942
bcc    0.000667
Name: volume, dtype: float64"
2017-06-28 23:59:00+00:00,"coin
btc    0.382417
eth    0.302851
ltc    0.133500
xrp    0.092934
etc    0.052851
neo    0.019907
zec    0.009605
xmr    0.003325
iot    0.001942
bcc    0.000667
Name: volume, dtype: float64"
2017-06-29 23:59:00+00:00,"coin
btc    0.382417
eth    0.302851
ltc    0.133500
xrp    0.092934
etc    0.052851
neo    0.019907
zec    0.009605
xmr    0.003325
iot    0.001942
bcc    0.000667
Name: volume, dtype: float64"
2017-06-30 23:59:00+00:00,"coin
btc    0.382417
eth    0.302851
ltc    0.133500
xrp    0.092934
etc    0.052851
neo    0.019907
zec    0.009605
xmr    0.003325
iot    0.001942
bcc    0.000667
Name: volume, dtype: float64"
2017-07-01 23:59:00+00:00,"coin
btc    0.382417
eth    0.302851
ltc    0.133500
xrp    0.092934
etc    0.052851
neo    0.019907
zec    0.009605
xmr    0.003325
iot    0.001942
bcc    0.000667
Name: volume, dtype: float64"
2017-07-02 23:59:00+00:00,"coin
btc    0.382417
eth    0.302851
ltc    0.133500
xrp    0.092934
etc    0.052851
neo    0.019907
zec    0.009605
xmr    0.003325
iot    0.001942
bcc    0.000667
Name: volume, dtype: float64"
2017-07-03 23:59:00+00:00,"coin
btc    0.382417
eth    0.302851
ltc    0.133500
xrp    0.092934
etc    0.052851
neo    0.019907
zec    0.009605
xmr    0.003325
iot    0.001942
bcc    0.000667
Name: volume, dtype: float64"
2017-07-04 23:59:00+00:00,"coin
eth    0.394912
btc    0.306163
ltc    0.140253
eos    0.076859
etc    0.033919
xrp    0.022121
neo    0.013352
zec    0.007557
xmr    0.003606
iot    0.001258
Name: volume, dtype: float64"
2017-07-05 23:59:00+00:00,"coin
eth    0.394912
btc    0.306163
ltc    0.140253
eos    0.076859
etc    0.033919
xrp    0.022121
neo    0.013352
zec    0.007557
xmr    0.003606
iot    0.001258
Name: volume, dtype: float64"
2017-07-06 23:59:00+00:00,"coin
eth    0.394912
btc    0.306163
ltc    0.140253
eos    0.076859
etc    0.033919
xrp    0.022121
neo    0.013352
zec    0.007557
xmr    0.003606
iot    0.001258
Name: volume, dtype: float64"
2017-07-07 23:59:00+00:00,"coin
eth    0.394912
btc    0.306163
ltc    0.140253
eos    0.076859
etc    0.033919
xrp    0.022121
neo    0.013352
zec    0.007557
xmr    0.003606
iot    0.001258
Name: volume, dtype: float64"
2017-07-08 23:59:00+00:00,"coin
eth    0.394912
btc    0.306163
ltc    0.140253
eos    0.076859
etc    0.033919
xrp    0.022121
neo    0.013352
zec    0.007557
xmr    0.003606
iot    0.001258
Name: volume, dtype: float64"
2017-07-09 23:59:00+00:00,"coin
eth    0.394912
btc    0.306163
ltc    0.140253
eos    0.076859
etc    0.033919
xrp    0.022121
neo    0.013352
zec    0.007557
xmr    0.003606
iot    0.001258
Name: volume, dtype: float64"
2017-07-10 23:59:00+00:00,"coin
eth    0.394912
btc    0.306163
ltc    0.140253
eos    0.076859
etc    0.033919
xrp    0.022121
neo    0.013352
zec    0.007557
xmr    0.003606
iot    0.001258
Name: volume, dtype: float64"
2017-07-11 23:59:00+00:00,"coin
btc    0.342135
eth    0.307736
ltc    0.198022
eos    0.045417
xrp    0.043439
etc    0.037534
zec    0.010131
neo    0.006890
xmr    0.006542
iot    0.002154
Name: volume, dtype: float64"
2017-07-12 23:59:00+00:00,"coin
btc    0.342135
eth    0.307736
ltc    0.198022
eos    0.045417
xrp    0.043439
etc    0.037534
zec    0.010131
neo    0.006890
xmr    0.006542
iot    0.002154
Name: volume, dtype: float64"
2017-07-13 23:59:00+00:00,"coin
btc    0.342135
eth    0.307736
ltc    0.198022
eos    0.045417
xrp    0.043439
etc    0.037534
zec    0.010131
neo    0.006890
xmr    0.006542
iot    0.002154
Name: volume, dtype: float64"
2017-07-14 23:59:00+00:00,"coin
btc    0.342135
eth    0.307736
ltc    0.198022
eos    0.045417
xrp    0.043439
etc    0.037534
zec    0.010131
neo    0.006890
xmr    0.006542
iot    0.002154
Name: volume, dtype: float64"
2017-07-15 23:59:00+00:00,"coin
btc    0.342135
eth    0.307736
ltc    0.198022
eos    0.045417
xrp    0.043439
etc    0.037534
zec    0.010131
neo    0.006890
xmr    0.006542
iot    0.002154
Name: volume, dtype: float64"
2017-07-16 23:59:00+00:00,"coin
btc    0.342135
eth    0.307736
ltc    0.198022
eos    0.045417
xrp    0.043439
etc    0.037534
zec    0.010131
neo    0.006890
xmr    0.006542
iot    0.002154
Name: volume, dtype: float64"
2017-07-17 23:59:00+00:00,"coin
btc    0.342135
eth    0.307736
ltc    0.198022
eos    0.045417
xrp    0.043439
etc    0.037534
zec    0.010131
neo    0.006890
xmr    0.006542
iot    0.002154
Name: volume, dtype: float64"
2017-07-18 23:59:00+00:00,"coin
eth    0.380655
btc    0.319723
etc    0.102223
ltc    0.102109
xrp    0.062826
eos    0.015603
zec    0.007090
neo    0.004397
xmr    0.003313
iot    0.002062
Name: volume, dtype: float64"
2017-07-19 23:59:00+00:00,"coin
eth    0.380655
btc    0.319723
etc    0.102223
ltc    0.102109
xrp    0.062826
eos    0.015603
zec    0.007090
neo    0.004397
xmr    0.003313
iot    0.002062
Name: volume, dtype: float64"
